,geoRegion,ageRange,sex,pop
506,CHFL,10 - 19,male,438812
507,CHFL,10 - 19,female,414563
508,CHFL,20 - 29,male,534180
509,CHFL,20 - 29,female,508437
510,CHFL,30 - 39,male,630777
511,CHFL,30 - 39,female,617463
512,CHFL,40 - 49,male,607008
513,CHFL,40 - 49,female,599897
514,CHFL,50 - 59,male,657562
515,CHFL,50 - 59,female,647981
516,CHFL,60 - 69,male,478411
517,CHFL,60 - 69,female,493866
518,CHFL,70 - 79,male,345623
519,CHFL,70 - 79,female,394290
520,CHFL,80+,male,176936
521,CHFL,80+,female,282962
